round,part,recording,neighbor,X,Y,reference,guess
0,initialGuess,0,1,0.000000,0.000000,1.500000,1.438500
0,initialGuess,0,2,0.000000,0.000000,3.000000,3.600300
0,initialGuess,0,3,0.000000,0.000000,2.500000,1.833600
0,initialGuess,0,4,0.000000,0.000000,2.915476,7.092200
0,initialGuess,0,5,0.000000,0.000000,3.905125,8.323100
0,initialGuess,0,6,0.000000,0.000000,6.500000,8.201300
0,initialGuess,0,7,0.000000,0.000000,6.670832,8.087600
0,initialGuess,0,8,0.000000,0.000000,7.158911,3.355600
0,initialGuess,0,9,0.000000,0.000000,9.000000,9.833700
0,initialGuess,0,10,0.000000,0.000000,9.124144,8.770700
0,initialGuess,0,11,0.000000,0.000000,9.486833,11.818200
0,initialGuess,0,12,0.000000,0.000000,6.000000,8.193400
0,initialGuess,0,13,0.000000,0.000000,7.500000,5.611800
0,initialGuess,0,14,0.000000,0.000000,9.000000,6.753100
0,initialGuess,0,15,0.000000,0.000000,6.500000,1.493800
0,initialGuess,0,16,0.000000,0.000000,7.905694,4.751500
0,initialGuess,0,17,0.000000,0.000000,9.340771,4.266100
0,initialGuess,0,18,0.000000,0.000000,8.845903,6.681600
0,initialGuess,0,19,0.000000,0.000000,9.924717,11.366900
0,initialGuess,0,20,0.000000,0.000000,11.101802,8.641000
0,initialGuess,0,21,0.000000,0.000000,10.816654,8.183600
0,initialGuess,0,22,0.000000,0.000000,11.715375,8.081800
0,initialGuess,0,23,0.000000,0.000000,12.727922,9.530600
0,initialGuess,0,24,0.000000,0.000000,12.000000,4.208600
0,initialGuess,0,25,0.000000,0.000000,13.500000,4.226100
0,initialGuess,0,26,0.000000,0.000000,15.000000,13.669300
0,initialGuess,0,27,0.000000,0.000000,12.257651,5.927600
0,initialGuess,0,28,0.000000,0.000000,13.729530,8.843600
0,initialGuess,0,29,0.000000,0.000000,15.206906,12.287400
0,initialGuess,0,30,0.000000,0.000000,13.647344,6.228600
0,initialGuess,0,31,0.000000,0.000000,14.983324,12.818800
0,initialGuess,0,33,0.000000,0.000000,15.000000,6.024300
0,initialGuess,1,0,1.500000,0.000000,1.500000,5.729700
0,initialGuess,1,2,1.500000,0.000000,1.500000,14.694000
0,initialGuess,1,3,1.500000,0.000000,2.915476,3.180600
0,initialGuess,1,4,1.500000,0.000000,2.500000,15.902000
0,initialGuess,1,5,1.500000,0.000000,2.915476,8.365400
0,initialGuess,1,6,1.500000,0.000000,6.670832,3.329100
0,initialGuess,1,7,1.500000,0.000000,6.500000,6.547900
0,initialGuess,1,8,1.500000,0.000000,6.670832,5.587100
0,initialGuess,1,9,1.500000,0.000000,9.124144,8.121100
0,initialGuess,1,10,1.500000,0.000000,9.000000,6.295000
